מספר אתר/תאור אתר
200007
200008
200010
200019
200022
200030
200032
200034
200041
200050
200053
200054
200057
200062
200063
200067
200071
200075
200076
200077
200087
200093
200095
200096
200098
200100
200115
200112
200118
200119
200128
200134
200135
200142
200146
200153
200163
200170
200177
200182
200195
200201
200206
200209
205235
200214
200216
200219
200220
200222
200227
200229
200245
200252
200255
200261
200262
200267
200274
200280
200281
200282
200283
200290
200296
200304
200308
200315
200319
200321
200337
200341
200342
200362
200365
200381
200389
200392
200396
200398
200406
200408
200409
200410
200416
200417
200424
200435
200436
200440
200442
200445
200447
200450
200451
200452
200469
200478
200486
200488
200491
200500
200509
200510
200515
200516
200529
200564
200569
200592
200599
200605
200611
200618
200619
200622
200636
200640
200641
200644
200646
200652
200655
200657
200659
200690
200693
200701
200703
200704
200709
200712
200720
200728
200731
200738
200740
200749
200750
200751
200753
200754
200767
200768
200779
200805
200836
200840
200853
200862
200864
200865
200866
200912
200935
200939
200946
200957
200963
200994
200998
201001
201015
201020
201031
201038
201040
201042
201046
201047
201057
201065
201090
201091
201102
201151
201159
201167
201177
201178
201211
201212
201224
201229
201238
201249
201260
201277
201280
201300
201301
201305
201307
201310
201311
201327
201339
201359
201401
201428
201462
201466
201468
201478
201480
201497
201508
201512
201525
201537
201541
201554
201558
201563
201568
201583
201588
201597
201605
201646
201664
201665
201667
201679
201683
201691
201700
201704
201709
201721
201725
201736
201741
201762
201764
201768
201793
201802
201804
201805
201806
201807
201810
201811
201813
201818
201819
201830
201836
201848
201849
201850
201852
201864
201870
201871
201882
201884
201890
201899
201919
201929
201939
201946
201995
202014
202018
202030
202031
202035
202040
202056
202060
202076
202086
202109
202110
202111
202113
202121
202125
202127
202142
202145
202168
202169
202173
202184
202195
202196
202198
202200
202213
202234
202240
202253
202268
202270
202283
202310
202313
202316
202334
202340
202345
202362
202367
202374
202381
202382
202411
202422
202425
202433
202444
202454
202475
203013
203025
203046
203051
203117
203133
203134
203153
203161
203184
203186
203188
203224
203232
203233
203244
203251
203257
203258
203259
203269
203289
203292
203293
203297
203302
203303
203320
203334
203336
203353
203365
203375
203382
203385
203388
203393
203430
203434
203445
203452
203454
203457
203462
203464
203468
203477
203495
203502
203509
203515
203527
203528
203540
203542
203556
203588
203603
203604
203606
203607
203619
203636
203699
203702
203706
203718
203729
203742
203743
203750
203753
203754
203757
203767
203768
203772
203791
203797
203799
203804
203811
203821
203827
203839
203844
203856
203857
203862
203884
203889
203901
203912
203917
203918
203921
203922
203925
203941
203945
203950
203952
203957
203971
203975
203977
203981
203984
203985
203990
203996
203997
204001
204007
204010
204026
204031
204034
204048
204053
204060
204069
204074
204077
204085
204098
204101
204109
204115
204121
204123
204124
204126
204145
204151
204155
204157
204163
204173
204179
204181
204184
204205
204207
204215
204218
204225
204242
204250
204255
204284
204300
204301
204321
204324
204326
204327
204334
204350
204356
204358
204385
204386
204387
204406
204420
204421
204424
204426
204432
204434
204445
204450
204455
204460
204479
204480
204485
204486
204491
204513
204518
204525
204526
204529
204552
204554
204564
204566
204570
204574
204579
204584
204600
204604
204614
204615
204621
204626
204631
204633
204640
204647
204655
204660
204683
204692
204695
204698
204712
204715
204722
204724
204729
204735
204739
204741
204751
204755
204763
204764
204768
204773
204794
204822
204826
204828
204829
204851
204874
204877
204887
204910
204923
204949
204952
204959
204977
204981
204982
204995
204999
205006
205010
205015
205018
205019
205026
205033
205037
205056
205059
205062
205108
205112
205119
205122
205127
205132
205143
205151
205156
205157
205158
205162
205163
205164
205165
205166
205167
205168
205169
205171
205172
205173
205174
205176
205178
205181
205182
205185
205186
205188
205189
205190
205191
205193
205196
205197
205205
205208
205214
205217
205220
205224
205228
205229
205231
205232
205234
205240
205241
205253
205259
205271
205273
205275
205276
990114
990115
990117
